Addresses ,Allocation % ,Type ,Sum
0xC9913aBaD5ff95E46B00DE9ecAFD0efB92D1d70F,10.00000000000000%,Developer,100%
0x410cb5d0dd274a7a9e0870c4412b4499fda5d08e,2.36842105263158%,OFT Users,
0x0b776552c1aef1dc33005dd25acda22493b6615d,2.36842105263158%,OFT Users,
0x06b16991b53632c2362267579ae7c4863c72fdb8,2.36842105263158%,OFT Users,
0x61057f96f041309c177c434d73f11d09efaf84b2,2.36842105263158%,OFT Users,
0x9b25235ee2e5564f50810e03ea5f91976a8ee6fa,2.36842105263158%,OFT Users,
0x037b21279931e628b11b4507b9f7870b15de1c17,2.36842105263158%,OFT Users,
0x7a26314d36cba037fb14b4d87702f9eb805a479b,2.36842105263158%,OFT Users,
0x2893e8995c59662b2b9fa579582af3dc5a6c5884,2.36842105263158%,OFT Users,
0xa51759c70af06ac7cc9f1af106701d4226488098,2.36842105263158%,OFT Users,
0xf78da0b8ae888c318e1a19415d593729a61ac0c3,2.36842105263158%,OFT Users,
0x35128c4263aa0213c59a897fd31d8c837e8b71c8,2.36842105263158%,OFT Users,
0x7737D3742DDc67F1443b40CBE6D401D649d3906A,2.36842105263158%,OFT Users,
0x1CA000bEFdF544C46b2eca0fC62a42113fAe6833,2.36842105263158%,OFT Users,
0x6F91C3102B94c98882c2284Df6a7bAa709175ac8,2.36842105263158%,OFT Users,
0x02706C602c59F86Cc2EbD9aE662a25987A7C7986,2.36842105263158%,OFT Users,
0xC9eebecb1d0AfF4fb2B9978516E075A33639892C,2.36842105263158%,OFT Users,
0x9b8e90926a3bde5fe88fe3065f581476a2c63437,2.36842105263158%,OFT Users,
0x9ff87f227a0b38d35d0de21bef3ea4c9abca6ddf,2.36842105263158%,OFT Users,
0xb6fb12999a09effdbcc6f60776331eaccc42e539,2.36842105263158%,OFT Users,
0xa5d896accc301fcaa21f03592269310e7444aa40,2.36842105263158%,OFT Users,
0x0a3043f9d2b1c6ccfc492eb59af5156f378c57bd,2.36842105263158%,OFT Users,
0xf139d72025bcde807b2ed618a065c2550e0c7c90,2.36842105263158%,OFT Users,
0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,2.36842105263158%,OFT Users,
0xcbe68ade2d49b26d67a79fe769ccce7906834177,2.36842105263158%,OFT Users,
0x5bc7bcba624bb090865811f32dba5b9baf7ca761,2.36842105263158%,OFT Users,
0x91ddeb35264287785762e666b5fba5da9e83b5c8,2.36842105263158%,OFT Users,
0x8e07ab8fc9e5f2613b17a5e5069673d522d0207a,2.36842105263158%,OFT Users,
0x43882a4049e26179942006baba5d41af70e05e9c,2.36842105263158%,OFT Users,
0xdc18517d7f2effc6cce195f5a2bf64ab52367ad3,2.36842105263158%,OFT Users,
0x3c2d6d7144241f1f1203c29c124585e55b58975e,2.36842105263158%,OFT Users,
0xEb0071305d5e16B54373A5E2B3eCf93aEA017094,2.36842105263158%,OFT Users,
0xE33cB376884521f06c409b83af8267d3663c2e46,2.36842105263158%,OFT Users,
0x34aD53757d9489FBC43D3030325817646F1E1C38,2.36842105263158%,OFT Users,
0x4cc3C83299e01724a2a58666d94636BB6Afe7faa,2.36842105263158%,OFT Users,
0x5ca642d0138f8fa36f4ec6311190825392246AdA,2.36842105263158%,OFT Users,
0xf37f3490C27e4CD822B56F16c59bc318Ba3551AD,2.36842105263158%,OFT Users,
0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,2.36842105263158%,OFT Users,
0x069e85D4F1010DD961897dC8C095FBB5FF297434,2.36842105263158%,OFT Users,